id,applied_date,approved_by,name,date_of_birth,blood_group,birth_registration_id,registration_id,present_address,permanent_address,guardian_name,guardian_email,guardian_phone,applied_for_grade
1,14/06/2020,4,Tori Muldoon,22/06/2007,B-ve,3.56237E+15,29-7295038,6932 Briar Crest Pass,245 Meadow Valley Circle,Gusta Binestead,gbinestead0@lycos.com,451 778 9800,4
2,19/11/2020,9,Henrietta Upjohn,20/05/2005,A-ve,30558282562173,69-5418147,3 Ryan Trail,5786 Chive Hill,Consalve Nystrom,,957 482 7194,5
3,11/06/2020,9,Luise Halesworth,18/09/2008,A+ve,3532321060347664,78-2998941,3 Esch Way,3 Clarendon Junction,Baldwin Landrick,,841 642 4827,2
4,05/06/2020,6,Aveline Gillbe,12/05/2012,A-ve,3558854868988171,10-0070708,357 Fair Oaks Terrace,382 Weeping Birch Trail,Eydie Prestland,,325 855 4375,6
5,09/01/2021,10,Rowney Shillam,13/03/2009,A-ve,3532653095714256,87-3617952,240 Alpine Drive,7487 Dwight Place,Brittaney Brayley,,237 902 0241,10
6,22/05/2020,3,Kevon Jachtym,12/05/2005,A+ve,4723362777965023,61-9746252,5917 Manitowish Lane,5933 Morning Circle,Murielle Dell Casa,,429 119 2753,4
7,17/06/2020,3,Aline Le Conte,02/05/2006,B+ve,3564791698494677,03-9547740,263 Cambridge Pass,2 Cardinal Center,Kalvin Cockrell,kcockrell6@cbc.ca,477 225 4078,6
8,22/11/2020,9,Pavel Halleybone,29/12/2010,A+ve,6759921788936026,31-5977634,9375 Fuller Trail,5 Everett Drive,Nikolai Croster,,698 748 7760,3
9,04/02/2021,8,Lanni Walthall,17/03/2013,B-ve,5.04E+17,65-8177511,6748 Thierer Alley,75420 Anthes Alley,Vivia Hazel,,370 263 1735,3
10,24/06/2020,9,Nina Van Halle,20/10/2012,AB-ve,3587912184567908,77-3289472,9867 Morrow Alley,5 Monterey Park,Gilbertina Arnau,,577 869 2236,6
11,12/10/2020,1,Guinna Greber,09/12/2007,O-ve,3582317586115212,86-1717757,116 Nobel Pass,2 Fairfield Way,Heddie Meadway,hmeadwaya@thetimes.co.uk,218 138 7158,3
12,11/06/2020,10,Ogden Yeskov,20/06/2005,AB+ve,201648307188782,10-6809724,0586 Waubesa Trail,18707 Almo Circle,Maurie Orman,mormanb@techcrunch.com,122 123 8944,8
13,12/02/2021,6,Biddie Ruddle,20/10/2005,A+ve,5100173335874619,26-1332976,892 Scofield Place,6208 Crescent Oaks Terrace,Carmela Malatalant,,760 366 3371,4
14,03/12/2020,2,Klarrisa Tammadge,10/03/2015,O-ve,6381687847601739,95-8016149,3204 Schmedeman Alley,437 Derek Parkway,Delly Scuse,,422 588 4321,6
15,05/07/2020,4,Emilia Poundford,16/08/2005,B-ve,201499041029613,74-5189159,5514 Manley Trail,12601 Dawn Drive,Gamaliel Isakson,,548 272 9622,3
16,23/07/2020,6,Letty Zannutti,10/03/2009,A+ve,6767327563346656,08-6077873,6 Rockefeller Alley,095 Walton Center,Gail Krink,,668 408 9708,2
17,03/07/2020,8,Lilllie Flavelle,01/11/2014,A+ve,6.37538E+15,43-3649253,7263 Fulton Place,24718 Farmco Circle,Myrle Trafford,mtraffordg@cpanel.net,683 714 0021,2
18,05/04/2021,4,Jud Deniskevich,04/12/2006,AB+ve,4017956045697659,70-4966997,912 Eliot Plaza,959 Bunker Hill Park,Zed Rubertelli,zrubertellih@google.fr,821 434 9172,1
19,19/08/2020,10,Florie Paternoster,20/05/2014,AB-ve,3563044540464873,81-2531641,699 Hallows Road,980 Nancy Hill,Benito Weson,,371 225 0956,3
20,28/04/2020,9,Johny Matuszak,17/05/2013,A+ve,5602257556659248,84-2071673,31411 Commercial Junction,9 Melrose Hill,Minnnie Quidenham,mquidenhamj@dailymail.co.uk,325 778 3933,8
